X,Y,source,url,alt_addres,lgname,lgtypeid,lgstatusid,prev_name,mail_addre,mail_city,lgid,mail_state,mail_zip,abbrev_nam
-104.701732604132,39.7764739602179,Hybrid Adams 3-27-15 Adams 6-25-15,,c/o Miller & Associates,Central Adams County Water & Sanitation District,12,1,,"1641 California Street, Suite 300",Denver,01045,CO,80202,Central Adams County Water & San. Dist.
-104.850265335197,39.8645048694384,Retrieved from Adams Public OIT GIS Share 3-27-15,sacwsd.org,PO BOX 597,South Adams County Water & Sanitation District,12,1,,6595 E 70th Ave,Commerce City,01021,CO,80037,South Adams County Water & San. District
-105.027640649394,39.816841007082,Retrieved from Adams Public OIT GIS Share 3-27-15,www.swacfire.com,,Southwest Adams County Fire Protection District,8,1,,3365 West 65th Avenue,Denver,01024,CO,80221,Southwest Adams County F.P.D.
-104.846007896886,39.8536583882309,Retrieved from Adams Public OIT GIS Share 3-27-15,,,South Adams County Fire Protection District,8,1,,6550 East 72nd Avenue,Commerce City,01023,CO,80022,South Adams County F.P.D.
-104.717308213627,39.7470143460506,Hybrid Arapahoe 3-27-15 Adams 6-25-15,,,Sable-Altura Fire Protection District,8,1,,"26900 East Colfax Avenue, Space 52",Aurora,64121,CO,80018,Sable-Altura Fire Protection District
-103.935446839437,39.6606320331098,Hybrid Arapahoe 3-27 Elbert 5-14 Adams 6-25,,,Deer Trail Rural Fire Protection District,8,1,,PO Box 257,Deer Trail,64052,CO,80105-0257,Deer Trail Rural F.P.D.
-104.491817256243,39.7626174439369,Hybrid Arapahoe 3-27-15 Adams 6-25-15,,,Bennett Fire Protection District,8,1,,Box 349,Bennett,64018,CO,80102,Bennett Fire Protection District
-104.303542995233,39.7667746394101,Hybrid Arapahoe 3-27-15 Adams 6-25-15,www.svfd8.org,PO Box 911,Strasburg Fire Protection District No. 8,8,1,,56281 E Colfax Ave,Strasburg,64134,CO,80136,Strasburg Fire Protection District No. 8
-104.8187439505,39.705169795,Arapahoe Public OIT GIS Share 3-27-15,,"c/o White Bear Ankele, P.C.",Avenues Metropolitan District No. 4,6,1,,"2154 E. Commons Avenue, Suite 2000",Centennial,65771,CO,80122,Avenues Metropolitan District No. 4
-104.818672862593,39.705169579975,Arapahoe Public OIT GIS Share 3-27-15,,"c/o White Bear Ankele, P.C.",Avenues Metropolitan District No. 5,6,1,,"2154 E. Commons Avenue, Suite 2000",Centennial,65772,CO,80122,Avenues Metropolitan District No. 5
-104.703378002469,39.586724365406,Arapahoe Public OIT GIS Share 3-27-15,,"c/o White Bear Ankele, P.C.",Tallyn's Reach Metropolitan District No. 2,6,1,Promontory Metropolitan District No. 2,"2154 E. Commons Ave., Suite 2000",Centennial,03155,CO,80122,Tallyn's Reach Metro. District No. 2
-104.672624692251,39.7105650058219,Arapahoe Public OIT GIS Share 3-27-15,,"c/o White Bear Ankele, P.C.",Powhaton Road Metropolitan District No. 1,6,1,Sand Creek Ranch Metropolitan District No. 1,"2154 E. Commons Ave., Suite 2000",Centennial,65243,CO,80122,Powhaton Road Metropolitan District #1
-104.761416482096,39.5912713043008,Arapahoe Public OIT GIS Share 3-27-15,,"c/o White Bear Ankele, P.C.",Estancia Metropolitan District,6,1,,"2154 E. Commons Ave., Suite 2000",Centennial,65325,CO,80122,Estancia Metropolitan District
-104.82289158408,39.9289935304922,Adams Assessor Office 06-25-2015,,"c/o White Bear Ankele, P.C.",Adams Crossing Metropolitan District No. 3,6,1,,"2154 East Commons Avenue, Suite 2000",Centennial,66311,CO,80122-1880,Adams Crossing Metropolitan District #3
-104.075613300255,39.8154822377429,Hybrid Arapahoe 3-27-15 Adams 6-25-15,,,Byers Fire Protection District,8,1,,PO Box 85,Byers,64032,CO,80103-0085,Byers Fire Protection District
-104.775099560281,39.6359893833625,Arapahoe Public OIT GIS Share 3-27-15,www.cfpd.org,,Cunningham Fire Protection District,8,1,,2015 S Dayton Street,Denver,03032,CO,80247,Cunningham Fire Protection District
-104.898477176211,39.5977449962365,Arapahoe Public OIT GIS Share 3-27-15,,"c/o Icenogle Seaver Pogue, P.C.",Centennial 360 Metropolitan District,6,1,,"4725 South Monaco Street, Suite 225",Denver,66252,CO,80237,Centennial 360 Metropolitan District
-104.921630458888,39.6677354327284,Arapahoe Public OIT GIS Share 3-27-15,,,Skyline Fire Protection District,8,1,,P.O. Box 3110,Parker,03066,CO,80134,Skyline Fire Protection District
-104.765761869004,39.5141617969193,Hybrid Arapahoe 3-27-15 Douglas 4-27-15,www.southmetro.org,,Parker Fire Protection District,8,1,,9195 E Mineral Ave,Centennial,64108,CO,80112,Parker Fire Protection District
-104.83467120518,39.5270890213414,Hybrid Arap 3-27-15 Douglas 3-27-15 and 4-27-15,www.southmetro.org,,South Metro Fire Rescue,8,1,Castlewood Fire Protection District,9195 East Mineral Avenue,Centennial,64035,CO,80112,South Metro Fire Rescue
-104.794784396025,39.57296637444,Arapahoe Public OIT GIS Share 3-27-15,,,Vermilion Creek Metropolitan District,6,1,,19238 E. Jamison Place,Centennial,65775,CO,80016,Vermilion Creek Metropolitan District
-104.823074824201,38.8327301794016,Downloaded from El Paso County Assessor 05-01-2015,,"c/o Susemihl, McDermott & Cowan, P.C.",Downtown Metropolitan District,6,1,,"660 Southpointe Court, Suite 210",Colorado Springs,66020,CO,80906,Downtown Metropolitan District
-104.917416334787,39.5996286967475,Arapahoe Public OIT GIS Share 3-27-15,,c/o City of Centennial,Cherry Park General Improvement District,31,1,,13233 E. Arapaho Road,Englewood,03128,CO,80112-3959,Cherry Park General Improvement District
-104.987698780213,39.6600685300433,Arapahoe Public OIT GIS Share 3-27-15,,,South Broadway Englewood Business Improvement District,57,1,,925 Lincoln St. #5G,Denver,65654,CO,80203,South Broadway Englewood B.I.D.
-104.865508209232,39.6940881979259,Arapahoe Public OIT GIS Share 3-27-15,,,Havana Business Improvement District,57,1,,337 Oswego Street,Aurora,65849,CO,80010,Havana Business Improvement District
-104.825132324503,39.7219233583172,Arapahoe Public OIT GIS Share 3-27-15,,"c/o Clifton Larson Allen, LLP",Abilene Station Metropolitan District No. 1,6,1,,8390 East Crescent Pkwy Ste 500,Greenwood Village,65793,CO,80111,Abilene Station Metro. District #1
-104.628644957169,38.9375889433457,DOLA CTF 04-14-2015,,,Falcon Highlands Metropolitan District,6,1,,"8390 E. Crescent Pkwy, #500",Greenwood Village,65117,CO,80111,Falcon Highlands Metropolitan District
-104.822626174876,39.9289920072003,Adams Assessor Office 06-25-2015,,"c/o White Bear Ankele, P.C.",Adams Crossing Metropolitan District No. 4,6,1,,"2154 East Commons Avenue, Suite 2000",Centennial,66312,CO,80122-1880,Adams Crossing Metropolitan District #4
-104.826079030239,39.6436897753761,Arapahoe Public OIT GIS Share 3-27-15,,c/o City of Aurora Water Department,Pier Point 7 General Improvement District (2-2009),28,1,,"15151 East Alameda Parkway, Suite 3600",Aurora,66195,CO,80012-1555,Pier Point 7 G.I.D. (2-2009)
-105.025409038403,39.5845125812587,Arapahoe Public OIT GIS Share 3-27-15,,"c/o Collins Cockrel & Cole, P.C.",Aspen Grove Business Improvement District,57,1,,"390 Union Boulevard, Suite 400",Lakewood,03164,CO,80228-1556,Aspen Grove B.I.D.
-104.752098700657,39.58767918196,Arapahoe Public OIT GIS Share 3-27-15,,c/o City of Centennial,Antelope Water System General Improvement District,28,1,,13133 East Arapahoe Road,Centennial,65427,CO,80112,Antelope Water System G.I.D.
-104.683055759177,39.7182545958535,Arapahoe Public OIT GIS Share 3-27-15,,"c/o White Bear Ankele, P.C.",Adonea Metropolitan District No. 2,6,1,,"2154 E. Commons Ave., Suite 2000",Centennial,65214,CO,80122,Adonea Metropolitan District No. 2
-104.912222286013,39.5718613463669,Arapahoe Public OIT GIS Share 3-27-15,,c/o City of Centennial,Foxridge General Improvement District,31,1,,13133 E. Arapahoe Road,Englewood,03119,CO,80112-3963,Foxridge General Improvement District
-104.997425785539,39.5676882246378,Arapahoe Public OIT GIS Share 3-27-15,,c/o Special District Management,Highline Business Improvement District,57,1,,"141 Union Boulevard, Suite 150",Lakewood,03144,CO,80228-1898,Highline Business Improvement District
-104.863897246802,39.5714405752672,Arapahoe Public OIT GIS Share 3-27-15,www.invernessmetro.com,"c/o Mulhern MRE, Inc",Inverness Metropolitan Improvement District,6,1,,"2 Inverness Drive East, Suite 200",Englewood,64079,CO,80112,Inverness Metro. Improvement District
-104.872555309984,39.5700500190033,Hybrid Arapahoe 3-27 Douglas 4-27 Denver 6-23,,,Southeast Public Improvement Metropolitan District,6,1,,"6380 South Fiddler's Green Circle, Suite 400",Greenwood Village,65232,CO,80111,Southeast Public Impr. Metro. District
-104.896783916559,39.5881127422916,Arapahoe Public OIT GIS Share 3-27-15,,c/o City of Centennial,Walnut Hills General Improvement District,31,1,,13133 E. Arapahoe Road,Englewood,03125,CO,80112-3963,Walnut Hills G.I.D.
-104.822360801088,39.9289904859893,Adams Assessor Office 06-25-2015,,"c/o White Bear Ankele, P.C.",Adams Crossing Metropolitan District No. 5,6,1,,"2154 East Commons Avenue, Suite 2000",Centennial,66313,CO,80122-1880,Adams Crossing Metropolitan District #5
-104.822095355166,39.9289889588179,Adams Assessor Office 06-25-2015,,"c/o White Bear Ankele, P.C.",Adams Crossing Metropolitan District No. 6,6,1,,"2154 East Commons Avenue, Suite 2000",Centennial,66314,CO,80122-1880,Adams Crossing Metropolitan District #6
-104.892371138888,39.6006216381701,Arapahoe Public OIT GIS Share 3-27-15,,John Madden Company,Fiddlers Business Improvement District,57,1,,"6501 S. Fiddler's Green Cir., Suite 110",Greenwood Village,03162,CO,80111,Fiddlers Business Improvement District
-104.642321443103,39.5738241862622,Arapahoe Public OIT GIS Share 3-27-15,,"c/o White Bear Ankele, P.C.",Senac South Metropolitan District No. 1,6,1,,"2154 E. Commons Avenue, Suite 2000",Centennial,65478,CO,80122,Senac South Metropolitan District No. 1
-104.7312705035,39.7259634038186,Arapahoe Public OIT GIS Share 3-27-15,,c/o CliftonLarsonAllen,Horizon Metropolitan District No. 2,6,1,,8390 E Crescent Pkwy Ste 500,Greenwood Village,65596,CO,80111,Horizon Metropolitan District No. 2
-104.7312705035,39.7259634038186,Arapahoe Public OIT GIS Share 3-27-15,,c/o CliftonLarsonAllen,Horizon Metropolitan District No. 9,6,1,,8390 E Crescent Pkwy Ste 500,Greenwood Village,65603,CO,80111,Horizon Metropolitan District No. 9
-104.7312705035,39.7259634038186,Arapahoe Public OIT GIS Share 3-27-15,,c/o CliftonLarsonAllen,Horizon Metropolitan District No. 8,6,1,,8390 E Crescent Pkwy Ste 500,Greenwood Village,65602,CO,80111,Horizon Metropolitan District No. 8
-104.7312705035,39.7259634038186,Arapahoe Public OIT GIS Share 3-27-15,,c/o CliftonLarsonAllen,Horizon Metropolitan District No. 7,6,1,,8390 E Crescent Pkwy Ste 500,Greenwood Village,65601,CO,80111,Horizon Metropolitan District No. 7
-104.7312705035,39.7259634038186,Arapahoe Public OIT GIS Share 3-27-15,,c/o CliftonLarsonAllen,Horizon Metropolitan District No. 6,6,1,,8390 E Crescent Pkwy Ste 500,Greenwood Village,65600,CO,80111,Horizon Metropolitan District No. 6
-104.7312705035,39.7259634038186,Arapahoe Public OIT GIS Share 3-27-15,,c/o CliftonLarsonAllen,Horizon Metropolitan District No. 5,6,1,,8390 E Crescent Pkwy Ste 500,Greenwood Village,65599,CO,80111,Horizon Metropolitan District No. 5
-104.7312705035,39.7259634038186,Arapahoe Public OIT GIS Share 3-27-15,,c/o CliftonLarsonAllen,Horizon Metropolitan District No. 4,6,1,,8390 E Crescent Pkwy Ste 500,Greenwood Village,65598,CO,80111,Horizon Metropolitan District No. 4
-104.7312705035,39.7259634038186,Arapahoe Public OIT GIS Share 3-27-15,,c/o CliftonLarsonAllen,Horizon Metropolitan District No. 3,6,1,,8390 E Crescent Pkwy Ste 500,Greenwood Village,65597,CO,80111,Horizon Metropolitan District No. 3
